"Sens Factor =-1.898dB, SERNO: 7200660"
10.054	-5.0062
10.179	-4.8416
10.306	-4.6803
10.434	-4.5221
10.564	-4.3671
10.696	-4.2152
10.829	-4.0665
10.964	-3.9208
11.1	-3.7781
11.238	-3.6384
11.378	-3.5017
11.52	-3.3679
11.663	-3.2370
11.809	-3.1090
11.956	-2.9839
12.104	-2.8615
12.255	-2.7419
12.408	-2.6250
12.562	-2.5109
12.718	-2.3994
12.877	-2.2906
13.037	-2.1844
13.199	-2.0808
13.364	-1.9797
13.53	-1.8811
13.698	-1.7850
13.869	-1.6913
14.042	-1.6001
14.216	-1.5113
14.393	-1.4248
14.573	-1.3406
14.754	-1.2588
14.938	-1.1791
15.124	-1.1017
15.312	-1.0265
15.503	-0.9535
15.696	-0.8826
15.891	-0.8138
16.089	-0.7470
16.289	-0.6823
16.492	-0.6196
16.697	-0.5588
16.905	-0.5000
17.115	-0.4431
17.328	-0.3880
17.544	-0.3348
17.763	-0.2834
17.984	-0.2337
18.208	-0.1858
18.434	-0.1397
18.664	-0.0951
18.896	-0.0523
19.131	-0.0110
19.369	0.0286
19.611	0.0668
19.855	0.1034
20.102	0.1385
20.352	0.1722
20.605	0.2045
20.862	0.2353
21.122	0.2649
21.385	0.2931
21.651	0.3200
21.92	0.3456
22.193	0.3700
22.47	0.3933
22.749	0.4154
23.032	0.4363
23.319	0.4561
23.609	0.4749
23.903	0.4927
24.201	0.5094
24.502	0.5252
24.807	0.5401
25.116	0.5540
25.429	0.5671
25.745	0.5794
26.066	0.5908
26.39	0.6014
26.719	0.6114
27.051	0.6206
27.388	0.6291
27.729	0.6370
28.074	0.6443
28.424	0.6510
28.778	0.6571
29.136	0.6628
29.499	0.6679
29.866	0.6726
30.238	0.6769
30.614	0.6808
30.995	0.6843
31.381	0.6875
31.772	0.6904
32.167	0.6931
32.568	0.6956
32.973	0.6978
33.383	0.6999
33.799	0.7018
34.22	0.7037
34.646	0.7055
35.077	0.7073
35.514	0.7076
35.956	0.7088
36.403	0.7106
36.857	0.7131
37.315	0.7161
37.78	0.7195
38.25	0.7233
38.726	0.7274
39.209	0.7317
39.697	0.7363
40.191	0.7410
40.691	0.7458
41.198	0.7506
41.711	0.7554
42.23	0.7602
42.756	0.7650
43.288	0.7696
43.827	0.7741
44.372	0.7784
44.925	0.7825
45.484	0.7864
46.05	0.7900
46.623	0.7933
47.204	0.7963
47.791	0.7989
48.386	0.8013
48.989	0.8034
49.599	0.8052
50.216	0.8065
50.841	0.8070
51.474	0.8064
52.115	0.8043
52.764	0.8009
53.42	0.7963
54.085	0.7909
54.759	0.7850
55.44	0.7789
56.131	0.7728
56.829	0.7667
57.537	0.7605
58.253	0.7541
58.978	0.7476
59.712	0.7408
60.456	0.7336
61.208	0.7262
61.97	0.7186
62.742	0.7108
63.523	0.7029
64.314	0.6948
65.114	0.6863
65.925	0.6775
66.745	0.6684
67.576	0.6589
68.418	0.6490
69.269	0.6389
70.132	0.6286
71.005	0.6182
71.889	0.6077
72.784	0.5971
73.69	0.5866
74.607	0.5762
75.536	0.5658
76.476	0.5556
77.428	0.5453
78.392	0.5351
79.368	0.5249
80.356	0.5146
81.356	0.5044
82.369	0.4943
83.394	0.4846
84.433	0.4758
